count_date,scats_site,total_volume
2021-05-26,2816,122395
2021-05-26,2929,108474
2021-05-26,3060,103368
2021-05-26,3357,121070
2021-05-26,3380,173777
2021-05-26,3386,126773
2021-05-26,3516,114236
2021-05-26,3519,122018
2021-05-26,4415,161079
2021-05-27,414,119012
2021-05-27,415,120109
2021-05-27,416,123190
2021-05-27,849,155780
2021-05-27,855,133290
2021-05-27,1359,135919
2021-05-27,2101,124525
2021-05-27,2404,129964
2021-05-27,2405,120255
2021-05-27,2438,103189
2021-05-27,2487,128533
2021-05-27,2816,124341
2021-05-27,2929,105998
2021-05-27,3060,106989
2021-05-27,3357,122964
2021-05-27,3380,179324
2021-05-27,3386,128727
2021-05-27,3516,120353
2021-05-27,3519,128669
2021-05-27,4415,163749
2021-05-28,414,75245
2021-05-28,415,72943
2021-05-28,416,75153
2021-05-28,849,123836
2021-05-28,855,87695
2021-05-28,1359,86448
2021-05-28,2101,71738
2021-05-28,2404,89697
2021-05-28,2405,81276
2021-05-28,2438,63567
2021-05-28,2487,85527
2021-05-28,2816,74926
2021-05-28,2929,63916
2021-05-28,3060,81560
2021-05-28,3357,77899
2021-05-28,3380,104843
2021-05-28,3386,78146
2021-05-28,3516,69669
2021-05-28,3519,76305
2021-05-28,4415,113384
2021-05-29,414,51284
2021-05-29,415,48310
2021-05-29,416,48138
2021-05-29,849,96584
2021-05-29,855,48642
2021-05-29,1359,46453
2021-05-29,2101,45815
2021-05-29,2404,62010
2021-05-29,2405,58549
2021-05-29,2438,45615
2021-05-29,2487,58872
2021-05-29,2816,43058
2021-05-29,2929,52345
2021-05-29,3060,61780
2021-05-29,3357,41204
2021-05-29,3380,64052
2021-05-29,3386,48941
2021-05-29,3516,46529
2021-05-29,3519,53110
2021-05-29,4415,72990
2021-05-30,414,41664
2021-05-30,415,40034
2021-05-30,416,39332
2021-05-30,849,107826
2021-05-30,855,38758
2021-05-30,1359,44207
2021-05-30,2101,36932
2021-05-30,2404,52775
2021-05-30,2405,50779
2021-05-30,2438,36697
2021-05-30,2487,50498
2021-05-30,2816,34361
2021-05-30,2929,36359
2021-05-30,3060,52393
2021-05-30,3357,31452
2021-05-30,3380,49462
2021-05-30,3386,38208
2021-05-30,3516,37769
2021-05-30,3519,45035
2021-05-30,4415,71287
2021-05-31,414,75970
2021-05-31,415,74322
2021-05-31,416,74692
2021-05-31,849,130947
2021-05-31,855,87111
