count_date,total_volume
2017-06-13,122226529
2017-06-14,118227332
2017-06-15,126543786
2017-06-16,132175292
2017-06-17,114135126
2017-06-18,95204490
2017-06-19,120031278
2017-06-20,124363800
2017-06-21,125812367
2017-06-22,128491403
2017-06-23,131782306
2017-06-24,112674944
2017-06-25,95061401
2017-06-26,117653940
2017-06-27,122052748
2017-06-28,123686694
2017-06-29,124339297
2017-07-01,109778925
2017-07-02,93298541
2017-07-03,113093316
2017-07-04,118016820
2017-07-05,120459877
2017-07-06,123392081
2017-07-07,125820518
2017-07-08,105706801
2017-07-09,91717737
2017-07-10,113987475
2017-07-11,119534422
2017-07-12,122497543
2017-07-13,124463048
2017-07-14,127003002
2017-07-15,108586368
2017-07-16,92528186
2017-07-17,118002341
2017-07-19,124160613
2017-07-20,127052436
2017-07-21,131760493
2017-07-22,111861394
2017-07-23,92996447
2017-07-24,119088045
2017-07-25,123588492
2017-07-26,126231936
2017-07-27,128798217
2017-07-28,132289875
2017-07-29,111891210
2017-07-30,96153859
2017-07-31,120096514
2017-08-01,124569427
2017-08-02,126733943
2017-08-03,127875243
2017-08-04,132009055
2017-08-05,113036686
2017-08-06,92994595
2017-08-07,118475285
2017-08-08,123970117
2017-08-09,126990143
2017-08-10,128776240
2017-08-11,132304539
2017-08-12,112265647
2017-08-13,96546614
2017-08-14,120600490
2017-08-15,123314003
2017-08-16,126488802
2017-08-17,127676565
2017-08-18,130640617
2017-08-19,112460252
2017-08-20,97703841
2017-08-21,118499090
2017-08-22,124241172
2017-08-23,125409912
2017-08-24,128646817
2017-08-25,132407773
2017-08-26,113039776
2017-08-27,94295716
2017-08-28,119878143
2017-08-29,123897832
2017-08-31,129646661
2017-09-01,132478559
2017-09-02,113388058
2017-09-03,94476342
2017-09-04,118766252
2017-09-05,122881085
2017-09-06,124955903
2017-09-07,127962649
2017-09-08,131308283
2017-09-09,111470179
2017-09-10,95940789
2017-09-11,119526879
2017-09-12,123108200
2017-09-13,125889263
2017-09-14,128923607
2017-09-15,131513689
2017-09-16,112777405
2017-09-17,97504658
2017-09-18,119276194
2017-09-19,124263691
2017-09-20,127372314
2017-09-21,129031106
2017-09-22,133307165
2017-09-23,111358467
2017-09-24,94820125
2017-09-25,118680669
2017-09-26,123665142
2017-09-27,126801011
2017-09-28,131657989
2017-09-29,98052350
2017-09-30,91951306
2017-10-01,88896604
2017-10-02,117330358
2017-10-03,123590230
2017-10-04,126798745
2017-10-05,127186800
2017-10-06,130940173
2017-10-07,112857138
2017-10-08,94902338
2017-10-09,122882942
2017-10-10,127638140
2017-10-11,128372383
2017-10-12,131433707
2017-10-13,135281573
2017-10-14,117102772
2017-10-15,100225038
2017-10-16,123584078
2017-10-17,128802816
2017-10-18,130900760
2017-10-19,132091604
2017-10-20,136680580
2017-10-21,116091095
2017-10-22,96997921
2017-10-23,124717298
2017-10-24,127569893
2017-10-25,129426213
2017-10-26,132613550
2017-10-27,137444487
2017-10-28,117425631
2017-10-29,100371445
2017-10-30,123684099
2017-10-31,128832769
2017-11-01,130117671
2017-11-02,128117429
2017-11-03,130676633
2017-11-04,108983206
2017-11-05,92689608
2017-11-06,113094511
2017-11-07,86128356
2017-11-09,133316609
2017-11-10,137970774
2017-11-11,118187618
2017-11-12,101339082
2017-11-13,127736695
2017-11-14,131598367
2017-11-15,132844420
2017-11-16,135137832
2017-11-17,139433210
2017-11-18,119773248
2017-11-19,104768960
2017-11-20,127849075
2017-11-21,132129798
2017-11-22,135269870
2017-11-23,136513321
2017-11-24,140449646
