capability,relative_path,filename,rows_estimate,size_mb
traffic volume analytics,in progress tests\site_totals.csv,site_totals.csv,549347,40.208
monthly / seasonal analytics,in progress tests\site_totals.csv,site_totals.csv,549347,40.208
SCATS site-level analytics,in progress tests\site_totals.csv,site_totals.csv,549347,40.208
site-by-month trend analysis,in progress tests\site_totals.csv,site_totals.csv,549347,40.208
"growth, volatility, concentration and ranking analysis",in progress tests\site_totals.csv,site_totals.csv,549347,40.208
traffic volume analytics,in progress tests\time_bin_profile.csv,time_bin_profile.csv,10273,0.852
15-minute / time-of-day analytics,in progress tests\time_bin_profile.csv,time_bin_profile.csv,10273,0.852
monthly / seasonal analytics,in progress tests\time_bin_profile.csv,time_bin_profile.csv,10273,0.852
traffic volume analytics,in progress tests\weekday_weekend_split.csv,weekday_weekend_split.csv,105,0.012
day-of-week / weekday-weekend analytics,in progress tests\weekday_weekend_split.csv,weekday_weekend_split.csv,105,0.012
monthly / seasonal analytics,in progress tests\weekday_weekend_split.csv,weekday_weekend_split.csv,105,0.012
traffic volume analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_00_2019-05-15_pre_covid_baseline.csv,chunk_00_2019-05-15_pre_covid_baseline.csv,355724,62.408
15-minute / time-of-day analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_00_2019-05-15_pre_covid_baseline.csv,chunk_00_2019-05-15_pre_covid_baseline.csv,355724,62.408
SCATS site-level analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_00_2019-05-15_pre_covid_baseline.csv,chunk_00_2019-05-15_pre_covid_baseline.csv,355724,62.408
mapping / GIS analysis,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_00_2019-05-15_pre_covid_baseline.csv,chunk_00_2019-05-15_pre_covid_baseline.csv,355724,62.408
traffic volume analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_01_2020-08-05_lockdown___covid_shock.csv,chunk_01_2020-08-05_lockdown___covid_shock.csv,370742,66.51
15-minute / time-of-day analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_01_2020-08-05_lockdown___covid_shock.csv,chunk_01_2020-08-05_lockdown___covid_shock.csv,370742,66.51
SCATS site-level analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_01_2020-08-05_lockdown___covid_shock.csv,chunk_01_2020-08-05_lockdown___covid_shock.csv,370742,66.51
mapping / GIS analysis,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_01_2020-08-05_lockdown___covid_shock.csv,chunk_01_2020-08-05_lockdown___covid_shock.csv,370742,66.51
traffic volume analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_02_2021-08-05_extended_disruption.csv,chunk_02_2021-08-05_extended_disruption.csv,378372,66.853
15-minute / time-of-day analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_02_2021-08-05_extended_disruption.csv,chunk_02_2021-08-05_extended_disruption.csv,378372,66.853
SCATS site-level analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_02_2021-08-05_extended_disruption.csv,chunk_02_2021-08-05_extended_disruption.csv,378372,66.853
mapping / GIS analysis,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_02_2021-08-05_extended_disruption.csv,chunk_02_2021-08-05_extended_disruption.csv,378372,66.853
traffic volume analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_03_2022-05-18_recovery_phase.csv,chunk_03_2022-05-18_recovery_phase.csv,384127,66.119
15-minute / time-of-day analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_03_2022-05-18_recovery_phase.csv,chunk_03_2022-05-18_recovery_phase.csv,384127,66.119
SCATS site-level analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_03_2022-05-18_recovery_phase.csv,chunk_03_2022-05-18_recovery_phase.csv,384127,66.119
mapping / GIS analysis,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_03_2022-05-18_recovery_phase.csv,chunk_03_2022-05-18_recovery_phase.csv,384127,66.119
traffic volume analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_04_2024-05-15_recent_normal.csv,chunk_04_2024-05-15_recent_normal.csv,398740,68.371
15-minute / time-of-day analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_04_2024-05-15_recent_normal.csv,chunk_04_2024-05-15_recent_normal.csv,398740,68.371
SCATS site-level analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_04_2024-05-15_recent_normal.csv,chunk_04_2024-05-15_recent_normal.csv,398740,68.371
mapping / GIS analysis,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_04_2024-05-15_recent_normal.csv,chunk_04_2024-05-15_recent_normal.csv,398740,68.371
traffic volume analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_05_2025-12-12_busiest_day_detected.csv,chunk_05_2025-12-12_busiest_day_detected.csv,404778,72.151
15-minute / time-of-day analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_05_2025-12-12_busiest_day_detected.csv,chunk_05_2025-12-12_busiest_day_detected.csv,404778,72.151
SCATS site-level analytics,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_05_2025-12-12_busiest_day_detected.csv,chunk_05_2025-12-12_busiest_day_detected.csv,404778,72.151
mapping / GIS analysis,kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_05_2025-12-12_busiest_day_detected.csv,chunk_05_2025-12-12_busiest_day_detected.csv,404778,72.151
traffic volume analytics,kepler_animation_exports\kepler_am_pm_comparison_2024-05-15.csv,kepler_am_pm_comparison_2024-05-15.csv,99976,17.79
15-minute / time-of-day analytics,kepler_animation_exports\kepler_am_pm_comparison_2024-05-15.csv,kepler_am_pm_comparison_2024-05-15.csv,99976,17.79
SCATS site-level analytics,kepler_animation_exports\kepler_am_pm_comparison_2024-05-15.csv,kepler_am_pm_comparison_2024-05-15.csv,99976,17.79
mapping / GIS analysis,kepler_animation_exports\kepler_am_pm_comparison_2024-05-15.csv,kepler_am_pm_comparison_2024-05-15.csv,99976,17.79
traffic volume analytics,kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,2791814,404.543
15-minute / time-of-day analytics,kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,2791814,404.543
day-of-week / weekday-weekend analytics,kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,2791814,404.543
SCATS site-level analytics,kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,2791814,404.543
weekly day-time pulse analysis,kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,2791814,404.543
mapping / GIS analysis,kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,2791814,404.543
busiest/quietest recurring day-time windows,kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,2791814,404.543
traffic volume analytics,kepler_animation_exports\kepler_covid_collapse_recovery_comparison_days.csv,kepler_covid_collapse_recovery_comparison_days.csv,2292483,402.09
15-minute / time-of-day analytics,kepler_animation_exports\kepler_covid_collapse_recovery_comparison_days.csv,kepler_covid_collapse_recovery_comparison_days.csv,2292483,402.09
SCATS site-level analytics,kepler_animation_exports\kepler_covid_collapse_recovery_comparison_days.csv,kepler_covid_collapse_recovery_comparison_days.csv,2292483,402.09
